mes_referencia,chuva_acumulada,pres_anterior,pres_media,delta_p,queda_antecede
2021-12-01,40.0,1007.8,1007.22,-0.5799999999999272,0.5799999999999272
2022-01-01,259.6,1007.22,1008.49,1.2699999999999818,-1.2699999999999818
2022-02-01,147.2,1008.49,1007.96,-0.5299999999999727,0.5299999999999727
2022-03-01,596.0,1007.96,1007.44,-0.5199999999999818,0.5199999999999818
2022-04-01,479.0,1007.44,1007.92,0.4799999999999045,-0.4799999999999045
2022-05-01,274.4,1007.92,1009.64,1.7200000000000273,-1.7200000000000273
2022-06-01,88.0,1009.64,1009.89,0.25,-0.25
2022-07-01,109.6,1009.89,1010.59,0.7000000000000455,-0.7000000000000455
2022-09-01,7.0,1010.52,1010.45,-0.06999999999993634,0.06999999999993634
2022-10-01,9.0,1010.45,1009.16,-1.2900000000000773,1.2900000000000773
2022-11-01,25.8,1009.16,1008.35,-0.8099999999999454,0.8099999999999454
2022-12-01,19.0,1008.35,1008.12,-0.2300000000000182,0.2300000000000182
2023-01-01,227.2,1008.12,1008.74,0.6200000000000045,-0.6200000000000045
2023-02-01,299.6,1008.74,1008.4,-0.34000000000003183,0.34000000000003183
2023-03-01,234.0,1008.4,1008.68,0.2799999999999727,-0.2799999999999727
2023-04-01,187.2,1008.68,1007.85,-0.8299999999999272,0.8299999999999272
2023-05-01,165.4,1007.85,1009.39,1.5399999999999636,-1.5399999999999636
2023-06-01,62.2,1009.39,1010.86,1.4700000000000273,-1.4700000000000273
2023-07-01,23.6,1010.86,1011.68,0.8199999999999363,-0.8199999999999363
2023-08-01,14.2,1011.68,1010.96,-0.7199999999999136,0.7199999999999136
2023-09-01,5.4,1010.96,1010.33,-0.6299999999999955,0.6299999999999955
2023-10-01,4.2,1010.33,1009.2,-1.1299999999999955,1.1299999999999955
2023-11-01,45.8,1009.2,1008.69,-0.5099999999999909,0.5099999999999909
2023-12-01,50.8,1008.69,1008.17,-0.5200000000000955,0.5200000000000955
2024-01-01,28.6,1008.17,1009.26,1.0900000000000318,-1.0900000000000318
2024-02-01,323.8,1009.26,1008.97,-0.2899999999999636,0.2899999999999636
2024-03-01,127.8,1008.97,1008.51,-0.4600000000000364,0.4600000000000364
2024-04-01,138.2,1008.51,1007.89,-0.6200000000000045,0.6200000000000045
2024-05-01,1.0,1007.89,1006.98,-0.9099999999999682,0.9099999999999682
